name,n,m,k_optimal,k_solved,k_start,verified,pre_removed_nodes,packing_size,packing_millis,millis,recursive_steps
chess-n_1500,1075,2561,127,127,45,true,859,71,54520,74242,322835
health-n_2000,1973,7956,674,658,297,false,1172,352,33805,90001,131721
link-kv-n_1000,644,4081,234,234,63,true,440,170,2809,9136,197337
wikispeedia-n_1500,1415,7438,271,271,165,true,1114,96,40438,48519,139546
synth-n_1000-m_124702-k_200-p_0.2.txt,1000,124702,200,200,0,true,0,194,23934,43271,708
synth-n_1300-m_52952-k_200-p_0.05.txt,1300,52952,200,200,0,true,1,193,23376,32037,1984
synth-n_150-m_1564-k_50-p_0.1.txt,150,1564,48,48,0,true,0,36,5449,12019,51779
synth-n_2000-m_110886-k_120-p_0.05.txt,2000,110886,120,120,0,true,2,117,8842,10265,171
synth-n_300-m_2943-k_70-p_0.05.txt,300,2943,70,69,0,false,9,56,54870,90001,159761
synth-n_3500-m_672789-k_200-p_0.1.txt,3500,672789,200,200,0,true,0,200,23325,41913,196
synth-n_700-m_16024-k_150-p_0.05.txt,700,16024,150,150,0,true,0,139,11608,20131,7323
synth-n_700-m_64387-k_200-p_0.2.txt,700,64387,200,200,0,true,0,186,21658,68140,3549
synth-n_2600-m_716555-k_100-p_0.2.txt,2600,716555,100,100,0,true,0,100,15931,30197,96
