name,n,m,pre_removed_nodes,k_start,k_optimal,k_solved,num_constraints,verified,millis
advotogo-n_100,26,31,26,2,2,2,0,true,86
advotogo-n_1000,624,1883,612,120,127,127,20,true,131
advotogo-n_1500,1110,4342,1072,196,215,215,58,true,27
advotogo-n_200,63,68,60,7,9,9,5,true,5
advotogo-n_2000,1556,6786,1526,279,297,297,48,true,48
advotogo-n_3000,2657,16140,2556,495,548,548,148,true,68
advotogo-n_4000,3775,29831,3090,554,863,863,975,true,1657
advotogo-n_50,0,0,0,0,0,0,0,true,0
advotogo-n_500,247,446,244,37,39,39,5,true,3
advotogo-n_5000,4962,43776,3953,699,1160,1160,1475,true,5479
advotogo-n_5159,5155,47135,4141,742,1208,1208,1469,true,5797
bitcoinalpha-n_100,5,7,5,2,2,2,0,true,0
bitcoinalpha-n_1000,545,1878,542,134,136,136,5,true,3
bitcoinalpha-n_1500,957,3890,954,259,261,261,5,true,3
bitcoinalpha-n_200,50,78,50,11,11,11,0,true,0
bitcoinalpha-n_2000,1450,6295,1438,386,393,393,20,true,9
bitcoinalpha-n_3000,2659,15429,2638,646,658,658,32,true,12
bitcoinalpha-n_3785,3783,24186,3744,901,921,921,65,true,16
bitcoinalpha-n_50,5,5,5,2,2,2,0,true,0
bitcoinalpha-n_500,202,465,197,51,54,54,8,true,4
blogs-n_100,67,170,67,8,8,8,0,true,0
blogs-n_1000,977,12749,646,66,196,196,477,true,224
blogs-n_1227,1224,19022,778,87,262,262,702,true,736
blogs-n_200,138,426,138,16,16,16,0,true,0
blogs-n_50,34,88,34,6,6,6,0,true,0
blogs-n_500,430,2918,378,49,76,76,83,true,14
chess-n_100,13,7,13,0,0,0,0,true,0
chess-n_1000,613,1295,523,27,62,62,132,true,13
chess-n_1500,1075,2561,859,45,127,127,334,true,131
chess-n_200,58,47,58,2,2,2,0,true,0
chess-n_2000,1531,4343,1131,61,204,204,955,true,4533
chess-n_3000,2586,11156,1616,65,-1,0,3689,false,90000
chess-n_4000,3620,17404,2029,82,-1,0,3127,false,90000
chess-n_50,3,2,3,0,0,0,0,true,0
chess-n_500,241,319,241,17,17,17,0,true,0
